,required_skills
447,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
448,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
449,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
450,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
451,"python  ,  database  ,  django  ,  team player  ,  sql"
452,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
453,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
454,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
455,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
456,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
457,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
458,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
459,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
460,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
461,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
462,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
463,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
464,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
465,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
466,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
467,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
468,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
469,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
470,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
471,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
472,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
473,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
474,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
475,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
476,"python  ,  database  ,  django  ,  team player  ,  sql"
477,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
478,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
479,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
480,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
481,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
482,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
483,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
484,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
485,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
486,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
487,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
488,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
489,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
490,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
491,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
492,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
493,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
494,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
495,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
496,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
497,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
498,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
499,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
500,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
501,"python  ,  database  ,  django  ,  team player  ,  sql"
502,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
503,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
504,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
505,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
506,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
507,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
508,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
509,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
510,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
511,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
512,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
513,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
514,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
515,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
516,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
517,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
518,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
519,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
520,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
521,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
522,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
523,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
524,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
525,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
526,"python  ,  database  ,  django  ,  team player  ,  sql"
527,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
528,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
529,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
530,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
531,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
532,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
533,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
534,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
535,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
536,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
537,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
538,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
539,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
540,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
541,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
542,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
543,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
544,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
545,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
546,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
547,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
548,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
549,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
550,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
551,"python  ,  database  ,  django  ,  team player  ,  sql"
552,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
553,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
554,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
555,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
556,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
557,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
558,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
559,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
560,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
561,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
562,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
563,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
564,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
565,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
566,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
567,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
568,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
569,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
570,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
571,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
572,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
573,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
574,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
575,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
576,"python  ,  database  ,  django  ,  team player  ,  sql"
577,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
578,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
579,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
580,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
581,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
582,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
583,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
584,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
585,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
586,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
587,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
588,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
589,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
590,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
591,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
592,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
593,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
594,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
595,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
596,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
597,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
598,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
599,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
600,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
601,"python  ,  database  ,  django  ,  team player  ,  sql"
602,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
603,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
604,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
605,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
606,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
607,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
608,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
609,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
610,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
611,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
612,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
613,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
614,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
615,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
616,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
617,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
618,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
619,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
620,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
621,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
622,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
623,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
624,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
625,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
626,"python  ,  database  ,  django  ,  team player  ,  sql"
627,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
628,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
629,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
630,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
631,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
632,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
633,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
634,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
635,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
636,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
637,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
638,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
639,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
640,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
641,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
642,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
643,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
644,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
645,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
646,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
647,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
648,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
649,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
650,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
651,"python  ,  database  ,  django  ,  team player  ,  sql"
652,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
653,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
654,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
655,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
656,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
657,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
658,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
659,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
660,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
661,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
662,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
663,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
664,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
665,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
666,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
667,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
668,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
669,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
670,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
671,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
672,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
673,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
674,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
675,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
676,"python  ,  database  ,  django  ,  team player  ,  sql"
677,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
678,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
679,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
680,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
681,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
682,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
683,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
684,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
685,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
686,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
687,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
688,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
689,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
690,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
691,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
692,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
693,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
694,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
695,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
696,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
697,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
698,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
699,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
700,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
701,"python  ,  database  ,  django  ,  team player  ,  sql"
702,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
703,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
704,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
705,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
706,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
707,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
708,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
